Product_id,Selling_Price
SCHE4YSTDVPVZVXW,3390.518038
ACCEGCATKHNRXUHW,2068.630052
NKCE6GJ5XVJDXNNZ,11852.62287
NKCEB8BK3ZXDHDHM,9815.233184
TOPEFDXSAHRNPF94,5739.853346
ACCE558KZHEPZYMG,9515.970757
ACCEAZCVAMFHDPY7,5401.823096
NKCDYNY37JPBGBVM,2662.145542
NKCEY8KWY33FCUYD,7756.960065
RNGE4YPTQYRECV9J,4766.436421
NKCE88AHBHJZREXH,3938.345694
CLTEJ5ZZGBP4JGGE,8048.931507
WATE3NWH5FZWAMDA,8548.387745
CAGE53FSFZVFPFHQ,1848.14132
PCSEAKVBFFPGCHNZ,3932.408611
WATDFFH3KJYBTYGG,7407.35486
NKCDWHFQSCHHYZMP,2811.505638
RNGEB2PG3Q5RKDW6,3588.724388
NKCE5UY9HHPZGGUZ,4570.223743
KTAEHETW3ZCMFMJR,4287.044857
BRAEBBYRVF9MHJHU,7911.300643
NKCEAX7HAQ2RJA3Q,10351.70543
CRTECN2RQZWBSP9W,5109.889972
WATDEWZ9UHSEHGZG,9602.020759
PTPEYW8HNV6G9YYR,3004.066292
ACCEAMGZRRYVAHDC,5256.768153
SRTEHHXG8MUXTGPA,6148.843857
SKIE4S4NN4MHYM3Z,5250.146901
HMBE7G34YHWPWKYN,7269.029643
LLIEGTMFJBD7ZZZM,13946.43665
ACCEJGH6JVTM4CBH,864.2911824
ACCDQDYBXJ9HZF37,10244.9868
RNGE88FRGZCXNKUG,500.5223276
NKCE7M3QNNPZDXHQ,10485.67154
VLBEGFFDP9H6WG2T,3649.427827
TOPEAFG4YEQSH5TT,2541.555924
WATEYAP3K2QQQWDH,5354.322969
PCSEBDFUFJWGARNX,10909.19259
SWTEGXQFZY95SKG7,4990.496826
BRAEGJFXSM9ZQ6SK,6963.273333
CAGE6FYKP34GA4GF,7673.411215
HMBEJCMH78VJF3M8,4548.494776
HIFEB7J3GSTVN5XJ,10905.10602
PBXE6ZHNGZREWWHR,4718.570612
PCSEAKVBNXFGZBKB,6975.569457
BRAEBBMQQNZ9RZWR,5927.382656
ACCEGKFCXHZZH44S,759.5622711
SHODXQRRGKZ74U9M,4326.853857
DREE2Y6DVEKVVQQS,4532.9683
PBXE8ZHHG5Y525BT,7011.229801
CTTEH9FXZHGFKUA3,8118.937386
ACCDXFZXGQTBTM6N,3723.434816
NKCE9PFF3TT4KSQJ,7984.165436
BRAE6NZAZK77HXZK,1005.317643
NKCE4TV42BHDP63U,3481.750512
AIREDGGD9RJPZGYW,5662.584743
PCSEDAPMHR2HNHWP,8467.304538
PACE95FMAFXHZB5C,4657.014884
WATDG4KP445AV5XC,13770.09546
ACCE9EYRRNZYZUBG,420.8902061
ACCE8XZMAHNC8JVS,648.1218287
SHOED5DCSTQKZCGF,4015.728302
NKCE64Z4NGBHNAY7,3638.36189
PBXE8WQTZ5GA2YYQ,887.9319277
MUGEGZUMGYAPVSZH,4455.939984
PBXE4RB3Y3GXWPFV,744.7157871
PCSE2ZFDJJGFNHC7,706.0499091
CRTECN2QT5HKHZ8F,5030.96028
